states,cities
Haryana,"['Ambala', 'Bahadurgarh', 'Ballabgarh', 'Bhiwani', 'Charkhi Dadri', 'Dharuhera', 'Faridabad', 'Fatehabad', 'Gurugram', 'Hisar', 'Jind', 'Kaithal', 'Karnal', 'Kurukshetra ', 'Mandikhera', 'Manesar', 'Narnaul', 'Palwal ', 'Panchkula', 'Panipat', 'Rohtak', 'Sirsa', 'Sonipat', 'Yamuna Nagar']"
Madhya Pradesh,"['Bhopal', 'Damoh', 'Dewas', 'Gwalior', 'Indore', 'Jabalpur', 'Katni', 'Maihar', 'Mandideep', 'Pithampur', 'Ratlam', 'Sagar', 'Satna', 'Singrauli', 'Ujjain']"
Maharashtra,"['Ahmednagar', 'Akola', 'Amravati', 'Aurangabad', 'Badlapur', 'Belapur', 'Bhiwandi', 'Boisar', 'Chandrapur', 'Dhule', 'Jalgaon', 'Jalna', 'Kalyan', 'Kolhapur', 'Latur', 'Mahad', 'Malegaon', 'Mira-Bhayandar', 'Mumbai', 'Nagpur', 'Nanded', 'Nashik', 'Navi Mumbai', 'Parbhani', 'Pimpri-Chinchwad', 'Pune', 'Sangli', 'Solapur', 'Thane', 'Ulhasnagar', 'Virar']"
Delhi,['Delhi']
Telangana,['Hyderabad']
Karnataka,"['Bagalkot', 'Belgaum', 'Bengaluru', 'Bidar', 'Chamarajanagar', 'Chikkaballapur', 'Chikkamagaluru', 'Davanagere', 'Dharwad', 'Gadag', 'Hassan', 'Haveri', 'Hubballi', 'Kalaburagi', 'Karwar', 'Kolar', 'Koppal', 'Madikeri', 'Mangalore', 'Mysuru', 'Raichur', 'Ramanagara', 'Shivamogga', 'Tumakuru', 'Udupi', 'Vijayapura', 'Yadgir']"
Bihar,"['Araria', 'Arrah', 'Aurangabad', 'Begusarai', 'Bettiah', 'Bhagalpur', 'Bihar Sharif', 'Buxar', 'Chhapra', 'Darbhanga', 'Gaya', 'Hajipur', 'Katihar', 'Kishanganj', 'Manguraha', 'Motihari', 'Munger', 'Muzaffarpur', 'Patna', 'Purnia', 'Rajgir', 'Saharsa', 'Samastipur', 'Sasaram', 'Siwan']"
Himachal Pradesh,['Baddi']
Uttar Pradesh,"['Agra', 'Baghpat', 'Bareilly', 'Bulandshahr', 'Firozabad', 'Ghaziabad', 'Gorakhpur', 'Greater Noida', 'Hapur', 'Jhansi', 'Kanpur', 'Khurja', 'Lucknow', 'Meerut', 'Moradabad', 'Muzaffarnagar', 'Noida', 'Prayagraj', 'Varanasi', 'Vrindavan']"
Tamil Nadu,"['Ariyalur', 'Chengalpattu', 'Chennai', 'Coimbatore', 'Cuddalore', 'Dindigul', 'Gummidipoondi', 'Hosur', 'Kanchipuram', 'Ooty', 'Palkalaiperur', 'Ramanathapuram', 'Salem', 'Thoothukudi', 'Tiruchirappalli', 'Tirupur', 'Vellore', 'Virudhunagar']"
Chhattisgarh,"['Bhilai', 'Bilaspur', 'Chhal', 'Korba', 'Kunjemura', 'Milupara', 'Raipur', 'Tumidih']"
Gujarat,"['Ahmedabad', 'Ankleshwar', 'Gandhinagar', 'Nandesari', 'Surat', 'Vapi', 'Vatva']"
Rajasthan,"['Ajmer', 'Alwar', 'Banswara', 'Baran', 'Barmer', 'Bharatpur', 'Bhilwara', 'Bhiwadi', 'Bikaner', 'Bundi', 'Chittorgarh', 'Churu', 'Dausa', 'Dholpur', 'Dungarpur', 'Hanumangarh', 'Jaipur', 'Jaisalmer', 'Jalore', 'Jhalawar', 'Jhunjhunu', 'Jodhpur', 'Karauli', 'Kota', 'Nagaur', 'Pali', 'Pratapgarh', 'Rajsamand', 'Sawai Madhopur', 'Sikar', 'Sirohi', 'Sri Ganganagar', 'Tonk', 'Udaipur']"
Kerala,"['Eloor', 'Ernakulam', 'Kannur', 'Kochi', 'Kollam', 'Kozhikode', 'Thiruvananthapuram', 'Thrissur']"
Assam,"['Byrnihat', 'Guwahati', 'Nagaon', 'Nalbari', 'Silchar', 'Sivasagar']"
Puducherry,['Puducherry']
Punjab,"['Amritsar', 'Bathinda', 'Jalandhar', 'Khanna', 'Ludhiana', 'Mandi Gobindgarh', 'Patiala', 'Rupnagar']"
Mizoram,['Aizawl']
West Bengal,"['Asansol', 'Barrackpore', 'Durgapur', 'Haldia', 'Howrah', 'Kolkata', 'Siliguri']"
Andhra Pradesh,"['Amaravati', 'Anantapur', 'Chittoor', 'Kadapa', 'Rajamahendravaram', 'Tirupati', 'Vijayawada', 'Visakhapatnam']"
Odisha,"['Angul', 'Balasore', 'Barbil', 'Baripada', 'Bhubaneswar', 'Bileipada', 'Brajrajnagar', 'Byasanagar', 'Cuttack', 'Keonjhar', 'Nayagarh', 'Rairangpur', 'Rourkela', 'Suakati', 'Talcher', 'Tensa']"
Jharkhand,"['Dhanbad', 'Jorapokhar', 'Pathardih']"
Tripura,['Agartala']
Meghalaya,['Shillong']
Chandigarh,['Chandigarh']
Jammu and Kashmir,['Srinagar']
Uttarakhand,"['Dehradun', 'Kashipur', 'Rishikesh']"
Sikkim,['Gangtok']
Arunachal Pradesh,['Naharlagun']
Manipur,['Imphal']
Nagaland,['Kohima']
